PFA_Name,Year,Population,Area_Sq_Km,IMD_Score,Police_Count,Crime_Count,Alpha_i,Beta_i,Sigma_i,Spillover_Force,E_Prime_i
Cleveland,2024.0,596699.7000000067,597.65,67.99951660064139,1510,45464.0,0.006799951660064139,0.09159476645848923,0.06268581534854548,194.4421148716719,-1994.1375045282364
Cumbria,2024.0,1527410.6999999732,20303.67,55.91788016232991,1379,22184.0,0.005591788016232991,0.20361293451486664,0.0816936031230837,416.26959045321144,702.9354029328358
Derbyshire,2024.0,1091075.3000000003,2624.74,53.265624239958676,2096,58286.0,0.005326562423995868,0.14814425669653938,0.1102717057771467,371.4116211044343,-5089.043015469377
Devon and Cornwall,2024.0,1834318.900000006,10268.31,54.989900597778934,3612,86132.0,0.005498990059777894,0.07743189173725668,0.2675804628300053,288.09977472039986,39399.30449490422
Dorset,2024.0,1612185.5000000037,2977.06,48.08856502242153,1422,33965.0,0.004808856502242153,0.15378410184550698,0.11395248665466114,346.12959447272533,-572.0520381098873
Durham,2024.0,648056.0000000037,2423.3799999999997,65.66666666666667,1385,37698.0,0.006566666666666668,0.10805410022536045,0.0793845019966066,291.8882135469256,-32.737267505764976
Dyfed-Powys,2024.0,523421.1000000015,10954.32,51.97845788460139,1302,18644.0,0.00519784578846014,0.13394201622071683,0.16279059646281935,256.104050196736,-2511.891116534232
Essex,2024.0,1919383.8000000045,3663.97,48.64249830130973,3758,76339.0,0.004864249830130973,0.22864365783987517,0.19798796535805316,854.6603462124348,1852.6282495548514
Gloucestershire,2024.0,666204.6000000089,2652.4500000000003,42.82169693450181,1321,33440.0,0.004282169693450181,0.13115319987556437,0.11710170519428939,242.9994221519469,20.408891944246932
Greater Manchester,2024.0,2991815.700000003,1276.12,64.06394920617097,8112,14.0,0.0064063949206170975,208.9319847020308,0.09409959303458676,544.8877457282322,347.216503061047
Gwent,2024.0,599882.1000000034,1551.46,51.97845788460139,1542,38590.0,0.00519784578846014,0.18891369572081898,0.14990018819695802,212.58646102497204,346.9951790247362
Hampshire and Isle of Wight,2024.0,2055119.1000000052,4148.23,43.14797429022277,3349,86468.0,0.004314797429022277,0.07452239642607371,0.0874008040393226,228.8172432487796,-355.6804682642923
Hertfordshire,2024.0,1230079.7000000067,1643.07,40.33497332322295,2379,56029.0,0.004033497332322295,0.19076018589551028,0.029487277238564685,788.2931850803179,-2126.513766507327
Humberside,2024.0,684523.8000000063,3442.83,55.26280387463456,2272,49463.0,0.005526280387463456,0.10863180902360292,0.0369440543837566,318.1413315582739,3016.9203677577107
Kent,2024.0,1921057.4000000283,3738.35,55.51723561371496,4168,97367.0,0.005551723561371496,0.24775642122738856,0.11328466638127774,1128.8962822532471,-6045.168760109692
Lancashire,2024.0,1591985.5999999978,3065.88,60.162611531893084,3569,113555.0,0.006016261153189309,0.1536582527922623,0.11102933626239057,352.7013705309947,-10250.975153743551
Leicestershire,2024.0,1168046.2000000179,2538.09,42.290760292721075,2247,50666.0,0.004229076029272107,0.07131593088695115,0.03421900509348746,236.2553344796035,567.2604870606241
Lincolnshire,2024.0,787052.0000000149,5937.35,59.016483508756906,1205,40303.0,0.005901648350875691,0.10395366698053667,0.055972632981138984,238.432716454914,-129.87110851894136
"London, City of",2024.0,14460.400000000838,2.88,31.666666666666668,989,2135.0,0.003166666666666667,5.821908499059582,0.10392566243293065,2869.110802369524,1026.0478796588177
Merseyside,2024.0,1468686.900000006,652.4000000000001,67.11468913562608,4154,75423.0,0.006711468913562608,0.1318052520841167,0.11586479764575924,305.343164231466,-8622.758182683341
