PFA_Name,Year,IMD_Score,Police_Count,Crime_Count,Alpha_i,B_i,Beta_i,Sigma_i,Spillover_Force,E_Prime_Monthly_Snapshot
West Yorkshire,2023,64.63197258961651,6062,164809.0,0.006463197258961651,209.92112722941886,0.10971531017216135,0.05099658930761067,345.01922006489804,-5484.326762938711
Wiltshire,2023,43.84260120986505,1204,29527.0,0.004384260120986506,28.92730154908421,0.11324298389861372,0.06640834539986576,288.60599687914697,-90.52070152898892
Avon and Somerset,2024,44.764594192836014,3281,98607.0,0.004476459419283601,69.03181377107546,0.012512254184383714,0.10756321868221361,226.27207527592168,16902.332171226866
Bedfordshire,2024,53.920716320716316,1455,31589.0,0.005392071632071632,80.1104742573785,0.10430099029245386,0.023083069937949785,239.2418713010644,-367.5986247509551
Cambridgeshire,2024,45.85250240330455,1725,41969.0,0.004585250240330455,56.395510820121814,0.06581410319852399,0.0399661413812735,221.18132860606417,-186.72171386113396
Cheshire,2024,49.520938645426355,2363,47003.0,0.004952093864542636,130.82802150869628,0.1459218614483416,0.13203885078594643,261.6353791447999,-2052.8622822744646
Cleveland,2024,67.99951660064139,1510,45464.0,0.006799951660064139,50.57861448149794,0.08811145209926806,0.06268581534854548,194.4421148716719,2852.8445526206774
Cumbria,2024,55.91788016232991,1379,22184.0,0.005591788016232991,37.77139377575917,0.19921290331960673,0.0816936031230837,416.26959045321144,-1433.2611729796345
Derbyshire,2024,53.265624239958676,2096,58286.0,0.005326562423995868,220.21297330951765,0.13550024810836722,0.1102717057771467,371.3988083145931,-5949.120030480858
Devon and Cornwall,2024,54.989900597778934,3612,86132.0,0.005498990059777894,163.31495969541695,0.06050083988265113,0.2675804628300053,302.37152252797637,6480.210156280292
Dorset,2024,48.08856502242153,1422,33965.0,0.004808856502242153,96.94754213774026,0.14435937904432686,0.11395248665466114,353.2654683765136,7472.107347539004
Durham,2024,65.66666666666667,1385,37698.0,0.006566666666666668,86.84336955529695,0.10219230370281668,0.0793845019966066,291.8882135469256,-2864.655846622865
Dyfed-Powys,2024,52.20054179830648,1302,18644.0,0.005220054179830649,-122.91405146279504,0.16177390602541164,0.16279059646281935,257.65356532229356,6327.433065290586
Essex,2024,48.64249830130973,3758,76339.0,0.004864249830130973,72.37557302317497,0.2259824266428439,0.19798796535805316,854.6603462124348,-2451.094605890477
Gloucestershire,2024,42.82169693450181,1321,33440.0,0.004282169693450181,42.16233161976392,0.12897551125041398,0.11710170519428939,248.39396868600582,-1497.10379394617
Greater Manchester,2024,64.06394920617097,8112,0.0,0.0064063949206170975,3.8397616913486003,202.2465809243427,2.2360599915712482,544.8877457282322,541.0479840368836
Gwent,2024,52.20054179830648,1542,38590.0,0.005220054179830649,186.4844471840418,0.17486000985820505,0.14990018819695802,213.79708720241126,5047.938078783427
Hampshire and Isle of Wight,2024,43.14797429022277,3349,86468.0,0.004314797429022277,83.53354567470907,0.07116184698124216,0.0874008040393226,228.8172432487796,-16654.67659623601
Hertfordshire,2024,40.33497332322295,2379,56029.0,0.004033497332322295,37.85724605394112,0.18833651126468753,0.029487277238564685,788.2931850803179,-940.8173081444039
Humberside,2024,60.47984100121401,2272,49463.0,0.006047984100121402,156.1821916644088,0.10404378269508717,0.0369440543837566,318.1413315582739,3271.1759802598103
Kent,2024,55.51723561371496,4168,97367.0,0.005551723561371496,160.23958643985236,0.24156057132860823,0.11328466638127774,1128.8962822532471,-10404.92070384585
Lancashire,2024,60.162611531893084,3569,113555.0,0.006016261153189309,247.89348266999093,0.14394208081079068,0.11102933626239057,352.683432625217,5407.2889689018875
Leicestershire,2024,42.290760292721075,2247,50666.0,0.004229076029272107,94.34630517567017,0.06625688971017538,0.03421900509348746,236.2553344796035,726.5493753860716
Lincolnshire,2024,59.016483508756906,1205,40303.0,0.005901648350875691,6.170106459921331,0.1044838753544705,0.055972632981138984,242.7335549114473,-1637.69100496619
"London, City of",2024,31.666666666666668,989,2135.0,0.003166666666666667,-10.35323780580318,5.826580288869396,0.10392566243293065,2869.110802369524,1050.406915480983
Merseyside,2024,67.11468913562608,4154,75423.0,0.006711468913562608,86.80920287584352,0.1284986913747799,0.11586479764575924,305.31326772183644,-20435.70811477797
Metropolitan Police,2024,58.95259528047169,33793,486681.0,0.005895259528047169,-532.0300826469731,0.12786376700132,0.04755964035731477,269.9253642518066,-24790.393378274417
Norfolk,2024,57.97262889600568,1899,37654.0,0.005797262889600569,44.378485007749006,0.0980935255019185,0.09268266651126425,187.13063131095714,1811.7752108895313
North Wales,2024,52.20054179830648,1721,41092.0,0.005220054179830649,39.414882043802464,0.09931177192905732,0.08306468719691056,200.39585207395157,-1774.6037671494648
North Yorkshire,2024,39.403933797073634,1652,35868.0,0.003940393379707364,21.511466912676028,0.20263481883720086,0.11909125230974618,459.47471266442096,-2243.0459633261203
Northamptonshire,2024,49.80767916922867,1473,40211.0,0.004980767916922867,54.061242283396275,0.10727894886021784,0.06192713856900558,211.06373054336538,1260.0797305602334
Northumbria,2024,64.01796301740093,3830,92633.0,0.006401796301740093,166.19246466187215,0.11780628997809597,0.09835828127569135,185.79921267605636,-13207.95936614997
Nottinghamshire,2024,53.07263995786478,2401,62550.0,0.005307263995786478,288.1638703126464,0.09557195592373902,0.09955960504763975,324.62955092834727,-7676.800575456973
South Wales,2024,52.20054179830648,3529,65817.0,0.005220054179830649,62.57861508334805,0.1434469679217934,0.1089182367122207,149.38229046421367,-8079.821701037901
South Yorkshire,2024,67.056185956853,3027,83722.0,0.0067056185956853006,112.23170497215435,0.11177125037376924,0.015613475774641972,414.9509271664224,1164.9584852086905
Staffordshire,2024,50.06831967597653,2001,53436.0,0.005006831967597654,135.55710301201566,0.08066510374102262,0.07129180540928623,370.36068283179344,347.869900615859
Suffolk,2024,51.6708943367096,1400,25372.0,0.00516708943367096,32.43940204938999,0.13186007212934694,0.14341576353873253,260.686823987939,4423.799320013775
Surrey,2024,30.98171738979266,2295,44109.0,0.003098171738979266,52.43496873594691,0.2626357017420531,0.05701189552104819,900.3865597491239,-924.8489489314725
Sussex,2024,49.99813447905561,3182,76187.0,0.004999813447905561,9.373352860919237,0.11550797550733216,0.09634856180752262,350.1012764424644,1675.9280225812568
